Datetime,开盘价,最高价,最低价,收盘价,成交量,Dividends,Stock Splits,5个5分钟均线,10个5分钟均线,20个5分钟均线,50个5分钟均线,RSI指标,MACD,MACD信号线,MACD柱状图,布林带上轨,布林带中轨,布林带下轨,成交量10个5分钟均线,成交量20个5分钟均线,随机指标K,随机指标D,平均真实波幅
2025-09-22 11:10:00-04:00,254.4250030517578,254.72999572753906,254.1300048828125,254.63999938964844,1680965,0.0,0.0,253.90502014160157,253.2561798095703,252.23651046752929,,82.23892405063292,0.547010336876923,0.37598742923678935,0.17102290764013367,254.81992944822304,252.23651046752929,249.65309148683554,1222539.8,1459968.7,97.56766453730776,98.39031588471313,0.6222141810825893
2025-09-22 11:15:00-04:00,254.63999938964844,254.97979736328125,254.5800018310547,254.84210205078125,1556068,0.0,0.0,254.24742126464844,253.47322998046874,252.46111526489258,,90.90419348436303,0.6036453999734306,0.4218574846532836,0.181787915320147,255.13350891793456,252.46111526489258,249.7887216118506,1260522.0,1367990.0,96.45096080482644,97.37650056758679,0.5964856828962054
2025-09-22 11:20:00-04:00,254.83999633789062,255.47000122070312,254.72000122070312,255.45899963378906,2349540,0.0,0.0,254.6192199707031,253.75411987304688,252.70105514526367,,91.62727269761417,0.6823230283937676,0.4742599227982761,0.20806310559549146,255.54860687290687,252.70105514526367,249.85350341762046,1385958.9,1391156.5,99.72496032714844,97.91452855642756,0.6093433925083706
2025-09-22 11:25:00-04:00,255.4499969482422,256.0799865722656,255.25999450683594,255.789794921875,2029016,0.0,0.0,255.03117980957032,254.1050994873047,252.9827796936035,,91.82971787312886,0.7581177466362305,0.5313008557558174,0.22681689088041312,255.88423872258812,252.9827796936035,250.0813206646189,1491097.4,1405931.6,93.24347368869815,96.473131606891,0.6014927455357143
2025-09-22 11:30:00-04:00,255.77000427246094,255.82000732421875,255.22000122070312,255.22000122070312,1304483,0.0,0.0,255.19017944335937,254.38159942626953,253.19763946533203,,78.8834072902283,0.7685404505208169,0.578928707645951,0.18961174287486593,256.09322883691357,253.19763946533203,250.3020500937505,1541683.6,1408298.95,78.5002841960304,90.48957273729233,0.5814928327287946
2025-09-22 11:35:00-04:00,255.22000122070312,255.35000610351562,254.9199981689453,255.1999969482422,1671013,0.0,0.0,255.30217895507812,254.60359954833984,253.40288925170898,252.73888866718,78.14836835578508,0.7662426794264263,0.6165050695874417,0.14973760983898465,256.25251999407806,253.40288925170898,250.55325850933994,1603953.2,1415263.15,78.0001754767436,83.24797778715738,0.5688858032226562
2025-09-22 11:40:00-04:00,255.1999969482422,255.40859985351562,254.6999969482422,255.07000732421875,1244353,0.0,0.0,255.34776000976564,254.79759063720704,253.56988983154298,252.93504274808444,76.30513028910747,0.7462847716557519,0.6425239197205488,0.10376085193520312,256.3981235763865,253.56988983154298,250.7416560866994,1612786.2,1366660.9,74.75042247933379,77.08362738403594,0.5916497366768974
2025-09-22 11:45:00-04:00,255.07000732421875,255.57769775390625,255.02999877929688,255.5,965425,0.0,0.0,255.3559600830078,254.98759002685546,253.77888946533204,253.13311943641077,84.55251006975145,0.7527712012577581,0.6646161085359438,0.08815509272181432,256.5236276304162,253.77888946533204,251.0341513002479,1598597.0,1358870.05,85.27908165636474,79.34322653748072,0.5868421282087054
2025-09-22 11:50:00-04:00,255.51499938964844,256.2200012207031,255.35000610351562,256.19000244140625,1254556,0.0,0.0,255.43600158691407,255.23359069824218,254.0101348876953,253.34580406775842,86.08992070676838,0.7988178046102803,0.6914980455334896,0.1073197590767907,256.748848668151,254.0101348876953,251.27142110723958,1606688.3,1363197.75,99.22483676623663,86.4181136339784,0.6154207502092633
2025-09-22 11:55:00-04:00,256.19500732421875,256.6300048828125,255.9499969482422,256.0531005859375,1723112,0.0,0.0,255.60262145996094,255.39640045166016,254.22378997802736,253.57264239971454,82.10190412736263,0.8155500863390444,0.7163392055612212,0.09921088077782314,256.8958622821701,254.22378997802736,251.5517176738846,1577853.1,1376480.85,84.32582126925692,89.60991323061943,0.6086785452706474
2025-09-22 12:00:00-04:00,256.07000732421875,256.30999755859375,255.11000061035156,255.1999969482422,1508656,0.0,0.0,255.60262145996094,255.45240020751953,254.35429000854492,253.73714975210336,68.85331569189374,0.7567758049892745,0.724434542680393,0.03234126230888157,256.9440655576097,254.35429000854492,251.76451445948015,1560622.2,1391581.0,59.20097168529934,80.91720990693096,0.6704210553850446
2025-09-22 12:05:00-04:00,255.202392578125,255.5050048828125,254.91000366210938,254.97999572753906,1168497,0.0,0.0,255.584619140625,255.4661895751953,254.46970977783204,253.88657261775091,63.16889985176815,0.6859039918576002,0.7167223222653105,-0.030818330407710315,256.94704201415703,254.46970977783204,251.99237754150707,1521865.1,1391193.55,49.152422824630285,64.22640525972885,0.6725779942103794
2025-09-22 12:10:00-04:00,254.97000122070312,255.5500030517578,254.75,255.46499633789062,1587359,0.0,0.0,255.57761840820314,255.46678924560547,254.61045455932617,254.03022648737982,65.5060589613443,0.65850071378199,0.7050706154220597,-0.04656990164006969,256.96953634290577,254.61045455932617,252.25137277574657,1445647.0,1415802.95,61.03657509708961,56.463323202339744,0.7040067400251117
2025-09-22 12:15:00-04:00,255.46499633789062,255.50999450683594,254.35020446777344,254.43699645996094,1228411,0.0,0.0,255.22701721191407,255.33150939941407,254.7183044433594,254.15011068490836,50.101166113213374,0.552930822460695,0.6746272201944935,-0.12169639773379848,256.81097079655444,254.7183044433594,252.62563809016433,1365586.5,1428341.95,12.2796630859375,40.82288700255246,0.7257777622767857
2025-09-22 12:20:00-04:00,254.43499755859375,254.46749877929688,253.83030700683594,253.99000549316406,1362900,0.0,0.0,254.81439819335938,255.20850982666016,254.79505462646483,254.24337651179388,44.723712698860965,0.43054263417855054,0.625790492460993,-0.1952478582824425,256.6356219329669,254.79505462646483,252.95448731996274,1371428.2,1456555.9,5.704132852992953,26.340123678673354,0.7284349714006696
2025-09-22 12:25:00-04:00,253.99000549316406,254.0500030517578,253.5800018310547,253.72000122070312,1028929,0.0,0.0,254.51839904785157,255.06051025390624,254.83205490112306,254.3179919903095,40.99072830806324,0.30954641103940617,0.5625211440992544,-0.2529747330598482,256.5442672993196,254.83205490112306,253.11984250292653,1307219.8,1455586.5,4.590139330114816,7.524645089681756,0.7334496634347099
2025-09-22 12:30:00-04:00,253.72999572753906,254.0800018310547,253.58999633789062,253.8199005126953,1166092,0.0,0.0,254.2863800048828,254.9354995727539,254.86654510498047,254.36529599703275,35.648323811865055,0.21886716230636694,0.4937724995721266,-0.27490533726575966,256.4579325210278,254.86654510498047,253.27515768893318,1299393.7,1456089.95,7.865522675538434,6.053264952882068,0.7148786272321429
2025-09-22 12:35:00-04:00,253.80499267578125,253.92999267578125,253.16000366210938,253.6999969482422,922349,0.0,0.0,253.93338012695312,254.75549926757813,254.8715446472168,254.40484971266525,31.0004134054342,0.1363015304928865,0.4222634539085523,-0.2859619234156658,256.4467241500429,254.8715446472168,253.2963651443907,1295086.1,1446841.55,15.56176069653929,9.339140900730847,0.7113069806780133
2025-09-22 12:40:00-04:00,253.6999969482422,253.97999572753906,253.49000549316406,253.84840393066406,822581,0.0,0.0,253.81566162109374,254.5213394165039,254.87746505737306,254.45093829815204,36.49524496326677,0.08141659300761717,0.3540827532663571,-0.2726661602587399,256.43537436348333,254.87746505737306,253.31955575126278,1251888.6,1429288.45,19.838617475045073,14.42196694904093,0.7034487043108258
2025-09-22 12:45:00-04:00,253.85000610351562,253.8699951171875,253.41000366210938,253.52000427246094,665771,0.0,0.0,253.72166137695314,254.26802978515624,254.83221511840821,254.4986308171199,34.40580596913455,0.012436329658186196,0.28574438481747,-0.2733080551592838,256.49453204653696,254.83221511840821,253.16989819027947,1146154.5,1362003.8,10.374653709159668,15.25834396024801,0.7055903843470982
2025-09-22 12:50:00-04:00,253.52499389648438,253.86990356445312,253.42359924316406,253.86500549316406,585309,0.0,0.0,253.75066223144532,254.13453063964843,254.793465423584,254.55286172720102,39.244144077884656,-0.015263610485618528,0.22553638334396203,-0.24079999382958056,256.5098987053532,254.793465423584,253.07703214181478,1053819.8,1307221.0,20.317048502704367,16.84343989563637,0.6868547712053571
2025-09-22 12:55:00-04:00,253.875,254.21499633789062,253.6999969482422,254.2100067138672,675766,0.0,0.0,253.82868347167968,254.05753173828126,254.7618606567383,254.60016984205978,38.30811230939019,-0.010254856566632498,0.17837412324046878,-0.18862897980710128,256.49769120691036,254.7618606567383,253.02603010656622,1004546.7,1263205.9,30.259443296249067,20.317048502704367,0.6845190865652901
2025-09-22 13:00:00-04:00,254.2050018310547,254.3800048828125,253.52000427246094,253.60299682617188,697305,0.0,0.0,253.8092834472656,253.87133178710937,254.66906051635743,254.61835831862228,26.194474554757406,-0.05300387270426654,0.13209537448308867,-0.1850992471873552,256.445928658443,254.66906051635743,252.89219237427187,915541.3,1180594.15,12.766369113055715,21.114286970669717,0.6838051932198661
2025-09-22 13:05:00-04:00,253.6199951171875,254.25999450683594,253.58999633789062,254.05499267578125,658025,0.0,0.0,253.85060119628906,253.8331314086914,254.58232040405272,254.63585780217096,32.62127469820676,-0.05093991709298962,0.0954863229815217,-0.14642624007451133,256.2971193725784,254.58232040405272,252.86752143552704,858502.7,1112044.6,28.41240469293444,23.812739034079744,0.6830902099609375
