timestamp,open,high,low,close,volume,Dividends,Stock Splits,5-day moving average,10-day moving average,20-day moving average,50-day moving average,RSI,MACD,MACD Signal,MACD Histogram,Bollinger Upper,Bollinger Middle,Bollinger Lower,Volume 10-day moving average,Volume 20-day moving average,Stochastic %K,Stochastic %D,Average True Range,amount
2025-09-15,175.6699981689453,178.85000610351562,174.50999450683594,177.75,147061600,0.0,0.0,176.16207580566407,172.91525573730468,175.63009796142578,,46.57995283114937,-0.6709345770517814,-1.185436867834323,0.5145022907825416,184.69959368468116,175.63009796142578,166.5606022381704,173300270.0,183523925.0,67.10794737787401,66.27457552588035,4.969761223947474,26140199400.0
2025-09-16,177.0,177.5,174.3800048828125,174.8800048828125,140737800,0.0,0.0,176.98800354003907,173.3262191772461,175.27411193847655,,38.85997253481698,-0.645097613004225,-1.0773409535644993,0.43224334056027436,183.8356021050466,175.27411193847655,166.7126217719065,164257560.0,183960415.0,53.03854203743925,62.53254316996817,4.954775169601971,24612227151.19629
2025-09-17,172.63999938964844,173.1999969482422,168.41000366210938,170.2899932861328,211843800,0.0,0.0,175.58200073242188,173.29418029785157,175.00710678100586,,33.99398441376998,-0.9655673284325701,-1.0549815846788806,0.0894142562463105,183.85029826954934,175.00710678100586,166.16391529246238,168999450.0,185291145.0,30.537202824615896,50.22789741330971,5.174788952455578,36074879279.70886
2025-09-18,173.97999572753906,177.10000610351562,172.9600067138672,176.24000549316406,191763300,0.0,0.0,175.39600219726563,173.7531478881836,175.04960174560546,,45.07789076439174,-0.75233438048636,-0.9944420849906469,0.24210770450428687,183.90869643414885,175.04960174560546,166.19050705706206,174008770.0,184122175.0,75.09135245698218,52.88903243967911,5.085536800805703,33796365045.387268
2025-09-19,175.77000427246094,178.0800018310547,175.17999267578125,176.6699981689453,237182100,0.0,0.0,175.16600036621094,174.71908874511718,175.13459548950195,,53.64843913195881,-0.5439514825540073,-0.9043319868167994,0.3603805042627921,184.02304799636065,175.13459548950195,166.24614298264325,175282840.0,188979235.0,77.7424796367916,61.1236783061299,4.791279564041602,41902961172.706604
2025-09-22,175.3000030517578,184.5500030517578,174.7100067138672,183.61000061035156,269637000,0.0,0.0,176.33800048828124,176.25003814697266,175.41609725952148,,66.98402715319368,0.15727554364187313,-0.6919879004287157,0.8492634440705888,185.01240456496788,175.41609725952148,165.81978995407508,185869630.0,193821615.0,95.41221513002465,82.7486824079328,4.997022703604953,49508049734.573364
2025-09-23,181.97000122070312,182.4199981689453,176.2100067138672,178.42999267578125,192559600,0.0,0.0,177.047998046875,177.01800079345702,175.34760360717775,,59.130973032532296,0.3062700250464161,-0.4923193294102029,0.7985893544566189,184.8310584857514,175.34760360717775,165.86414872860408,189370750.0,195298955.0,70.13061905988923,81.09510460890182,5.273465132437934,34358408017.651367
2025-09-24,179.77000427246094,179.77999877929688,175.39999389648438,176.97000122070312,143564100,0.0,0.0,178.38399963378907,176.98300018310547,175.10811614990234,,56.15144594180661,0.3068773590357239,-0.33246911287901076,0.6393464719147346,184.1409808953967,175.10811614990234,166.075251404408,181041960.0,194042750.0,63.00497085638003,76.18260168209797,5.411332704338936,25406538952.249146
2025-09-25,174.47999572753906,180.25999450683594,173.1300048828125,177.69000244140625,191586700,0.0,0.0,178.6739990234375,177.03500061035157,174.91312789916992,,63.58031542509429,0.3594770550100179,-0.19407234426440528,0.5535493992744231,183.5149513409098,174.91312789916992,166.31130445743005,185084700.0,191846140.0,61.50262678250217,64.87940556625713,5.378505488092595,34043041190.740967
2025-09-26,178.1699981689453,179.77000427246094,174.92999267578125,178.19000244140625,148573700,0.0,0.0,178.97799987792968,177.0720001220703,174.81463623046875,,62.83365385224659,0.43527860354228665,-0.06819667204429178,0.5034752755865785,183.20604714771093,174.81463623046875,166.42322531322657,187450970.0,185185435.0,64.30855752538041,62.938718388087544,5.442807979714041,26474347965.72876
